CLAIM NO,EMPLOYER NAME,EMPLOYER CITY,ST,ZIP,INDUSTRY,INDUSTRY (IF OTHER),SOURCE (URL),NOTES
LLVA62316,RIVERTON SHELL,FRONT ROYAL,VA,22630,,,,
LLVA62317,PRIMARY CARGO LLC,SPRINGFIELD,VA,22152,,,,
LLVA62318,PUBLIC PARTNERSHIPS LLC,GLEN ALLEN,VA,23060,,,,
LLVA62319,NO NAME PROVIDED,NA,NA,NA,,,,
LLVA62320,MAID SERVICE INC,MIDLOTHION,VA,23112,,,,
LLVA62321,KEBAB HOUSE,NEWPORT NEWS,VA,23601,,,,
LLVA62322,TAMMY AND JOHNNY'S,MELFA,VA,23410,,,,
LLVA62324,JAG LOGISTICS INC,HANOVER,VA,23609,,,,
LLVA62325,CARLISLE LIVING LLC,CHESAPEAKE,VA,23324,,,,
LLVA62326,CHARLIE AND SON TRASH SERVICE,WOODBRIDGE,VA,22192,,,,
LLVA62328,GLOUCESTER CHIROPRACTIC & MASSAGE THERAPY CENTER,HAYES,VA,23072,,,,
LLVA62330,BODY & SOL TANNING LLC,YORKTOWN,VA,23693,,,,
LLVA62331,RCS TRUCKING AND FREIGHT,BEALTETON,VA,22712,,,,
LLVA62332,MIKE ISABELLA CONCEPTS,GAITHERSBURG,MD,20878,,,,
LLVA62334,HARRY RHETT,MARTINSVILLE,VA,24112,,,,
LLVA62335,BERNARD JONES SR.,VIRGINIA BEACH,VA,23455,,,,
LLVA62336,JUANDA ANTRUM,VIRGINIA BEACH,VA,2455,,,,
LLVA62337,THEODORE SAVVAS,VIRGINIA BEACH,VA,23462,,,,
LLVA62338,STEVEN GREENWALD,ROCKVILLE,MD,20855,,,,
LLVA62339,GIRLS INC,HAMPTON,VA,23666,,,,
LLVA62340,AERIAL DESIGN BUILDERS LLC,NA,NA,NA,,,,
LLVA62341,CARLISLE LIVING LLC,CHESAPEAKE,VA,23324,,,,
LLVA62342,WILSON AUTO REPAIR,HAMPTON,VA,23663,,,,
LLVA62343,BODY & SOL TANNING LLC,YORKTOWN,VA,23693,,,,
LLVA62345,THE WIRELESS CENTER,CLEVELAND,OH,44144,,,,
LLVA62346,JAT FAMILY LLC,CHESAPEAKE,VA,23320,,,,
LLVA62347,ONESPRING LLC,ALPHARETTA,GA,30009,,,,
LLVA62350,BREEDEN MECHANICAL,MANASSAS,VA,20109,,,,
LLVA62352,BON SECOURS HEALTH SYSTEM WINDSOR,RICHMOND,VA,23227,,,,
LLVA62353,KENMORE DIRECT,AUGUSTA,GA,30904,,,,
LLVA62354,PARAM CONSULTING SERVICES,ISELIN,NJ,8830,,,,
LLVA62355,NCGCARE,ROANOKE,VA,24018,,,,
LLVA62356,HOMEWOOD SUITES,CHARLOTTESVILLE,VA,22901,,,,
LLVA62357,REGAL MOVING SERVICES,STERLING,VA,20166,,,,
LLVA62358,MTO KOMBUCHA,VINT HIL,VA,20187,,,,
LLVA62359,AFTON SERVICE CENTER,AFTON,VA,22920,,,,
LLVA62360,DAYS INN,BEDFORD,VA,24523,,,,
LLVA62361,VISION III IMAGING INC,RESTON,VA,20191,,,,
LLVA62362,BRYAN GEORGE,PORTSMOUTH,VA,23703,,,,
LLVA62364,PERCESION PAINT,VIRGINIA BEACH,VA,23453,,,,
LLVA62366,HOMEWOOD SUITES,VIRGINIA BEACH,VA,23455,,,,
LLVA62367,LABS TO GO,VIRGINIA BEACH,VA,23462,,,,
LLVA62368,SMITHFIELD FOODS/SMITHFIELD PACKING COMPANY,NEWPORT NEWS,VA,23601,,,,
LLVA62369,W & W BODY SHOP,BEDFORD,VA,24523,,,,
LLVA62370,JIFFY LUBE,CHARLOTTESVILLE,VA,22911,,,,
LLVA62371,VONAGE BUSINESS,MCLEAN,VA,22103,,,,
LLVA62372,COMICS & GAMING FAIRFAX INC,FAIRFAX,VA,22030,,,,
LLVA62373,GUARDIAN HOMECARE,RICHMOND,VA,23230,,,,
LLVA62374,ARTEMIS VETERINARY EMERGENCY SPECIALTY HOSPITAL,BRISTOW,VA,20136,,,,
LLVA62376,GREATER WASHINGTON ENDONDONTICS,FAIRFAX,VA,22032,,,,
LLVA62377,GREATER WASHINGTON ENDODONTICS,FAIRFAX,VA,22031,,,,
LLVA62378,GREATER WASHINGTON ENDODONTICS,FAIRFAX,VA,22031,,,,
LLVA62379,GREATER WASHINGTON ENDODONTICS,FAIRFAX,VA,22031,,,,
LLVA62381,GREATER WASHINGTON ENDODONTICS,FAIRFAX,VA,22031,,,,
LLVA62384,ASHLEY FURNITURE HOME STORE,ROANOKE,VA,24012,,,,
LLVA62385,HOME CARE SERVICES UNLIMITED INC,VIRGINIA BEACH,VA,23462,,,,
LLVA62387,TATA COMMUNICATIONS INC,HERNDON,VA,20171,,,,
LLVA62388,WOLF CONTRACTORS,NEWPORT NEWS,VA,23601,,,,
LLVA62389,DAVIS AUTOSPORTS,RICHMOND,VA,23250,,,,
LLVA62390,TRAVELODGE OF MARTINSVILLE,RIDGEWAY,VA,24148,,,,
LLVA62391,MORE TRANSPORT LLC,SOUTH HILL,VA,23970,,,,
LLVA62392,MICHAEL & SON SERVICES,ALEXANDRIA,VA,22312,,,,
LLVA62393,NOVA-N-HOME HEALTH CARE INC,STAFFORD,VA,22554,,,,
LLVA62394,XTEC INCORPORATED,RESTON,VA,20191,,,,
LLVA62395,DR. JOANN CLARK FAMILY DENTISTRY,HAMPTON,VA,23666,,,,
LLVA62396,TONYA MARIE MCCLELLAN,HOPEWELL,VA,23860,,,,
LLVA62397,MCDONALD'S,NA,NA,NA,,,,
LLVA62398,IVAN MASONARY LLC,ALEXANDRIA,VA,22309,,,,
LLVA62399,ENTERPRISE CAR SALES,WILLIAMSBURG,VA,23185,,,,
LLVA62400,GENTLE TOUCH LEARNING CENTER LLC,PORTSMOUTH,VA,23707,,,,
LLVA62401,THE EXECUTIVE DINER,ALEXANDRIA,VA,22314,,,,
LLVA62402,PATIENT CENTERED CARE,PORTSMOUTH,VA,23707,,,,
LLVA62403,GREENSVILLE TRANSPORT,CHESAPEAKE,VA,23321,,,,
LLVA62404,DISTRICT CONTRACTING GROUP,WASHINGTON,DC,22202,,,,
LLVA62405,JMLB,MIDLOTHIAN,VA,23114,,,,
LLVA62407,INTEGRATED GLOBAL LOGISTICS INC,CHESAPEAKE,VA,23321,,,,
LLVA62408,FAST TRAK MANAGEMENT INC,VIENNA,VA,22182,,,,
LLVA62409,FREDERICK PATTERSON,STAFFORD,VA,22554,,,,
LLVA62410,QUALITY CARE LOGISTICS AMBULANCE SERVICES,MAX MEADOWS,VA,24382,,,,
LLVA62411,ROGER MORE,SOUTH HILL,VA,23970,,,,
LLVA62412,THOMAS CHILLEMI,FAIRFAX,VA,22030,,,,
LLVA62413,HUSTEADS CANVAS CREATIONS INC,NORFOLK,VA,23517,,,,
LLVA62414,MARTINEZ JANITORIAL,NA,NA,NA,,,,
LLVA62416,PATRICIA GRISWOLD,COLONIAL HEIGHTS,VA,23834,,,,
LLVA62417,SANDY PETITTO,YORKTOWN,VA,23693,,,,
LLVA62418,STAN BURKE,STERLING,VA,20166,,,,
LLVA62419,PROGRESSIONS DANCE SCHOOL,WARRENTON,VA,20186,,,,
LLVA62420,ONLY CHOICE HOME HEALTH CARE AGENCY,FREDERICKSBURG,VA,22401,,,,
LLVA62421,PUBLIC PARTNERSHIPS LLC,FRONT ROYAL,VA,22630,,,,
LLVA62422,CARING HEARTS AND HANDS HOME CARE,NEWPORT NEWS,VA,23606,,,,
LLVA62423,BROWNSTONE ASSISTED LIVING FACILITY,RICHMOND,VA,23222,,,,
LLVA62424,SERENDIPITY SANCTUARY INC,WHITE POST,VA,22663,,,,
LLVA62425,"THE WRIGHT EXPERIENCE, INC",WARRENTON,VA,20187,,,,
LLVA62426,UNITED ENERGY WORKERS HEALTHCARE,LYNCHBURG,VA,24502,,,,
LLVA62427,THINAIR,MOUNTAIN VIEW,CA,94043,,,,
LLVA62428,ROONEY INSURANCE AGENCY INC,ANNANDALE,VA,22003,,,,
LLVA62429,"SERENDIPITY SANCTUARY,  INC",WHITE POST,VA,22663,,,,
LLVA62430,BADBOB TRUCKING LLC,STAFFORD,VA,22554,,,,
LLVA62431,TOWNE PARK VALET,ANNAPOLIS,MD,21401,,,,
LLVA62432,PITTMANS TREE & LANDSCAPING,FRONT ROYAL,VA,22630,,,,
LLVA62433,FAMILY DOLLAR INC,STUART,VA,24171,,,,
LLVA62434,POSITIVE CONNECTIONS INC,PORTSMOUTH,VA,23704,,,,
LLVA62435,MARATHON RESOURCE MANAGEMENT GROUP,ASHLAND,VA,23005,,,,
LLVA62436,COLONIAL TRIMCRAFTERS INC,RICHMOND,VA,23238,,,,
LLVA62437,LCI,MARSHALL,VA,20115,,,,
LLVA62438,SODEXO,GAITHERSBURG,MD,20878,,,,
LLVA62439,SOUTHERN GRACE SERVICES LLC,NEWPORT NEWS,VA,23612,,,,
LLVA62440,DOMINION CONCRETE & MASONRY CORPORATION,ASHBURN,VA,20146,,,,
LLVA62441,NAKED BEAR RV SERVICE AND REPAIR,WHITE POST,VA,23663,,,,
LLVA62442,AUDI OF ARLINGTON/AV AUTOMOTIVE,ARLINGTON,VA,22204,,,,
LLVA62443,ROSS DRESS FOR LESS,NA,NA,NA,,,,
LLVA62444,SWANSON SERVICE LLC,RICHMOND,VA,23219,,,,
LLVA62445,GENTLE TOUCH HOME CARE LLC,SUFFOLK,VA,23434,,,,
LLVA62447,JUNIOR'S CONVENIENCE MART,DANVILLE,VA,24540,,,,
LLVA62448,RIDGECREST APARTMENTS,BRISTOL,VA,24201,,,,
LLVA62449,PALMAR CONSTRUCTION LLC,HERNDON,VA,20170,,,,
LLVA62450,ADP,NORFOLK,VA,23510,,,,
LLVA62451,OMAR,MCCLELLON,CA,95652,,,,
LLVA62452,FAMILY GAP INN,FANCY GAP,VA,24328,,,,
LLVA62453,UNIVERSITY OF NORTH LOS ANGELES,VIENNA,VA,22182,,,,
LLVA62454,A PLUS/7-11,HENRICO,VA,23228,,,,
LLVA62458,TRIO HEALTHCARE LLC,ATLANTA,GA,30328,,,,
LLVA62460,RELIABLE BUSINESS COMMUNICATIONS,VIRGINIA BEACH,VA,23454,,,,
LLVA62464,SMT ENTERPRISE/FIT BAR EXPRESS,PORTSMOUTH,VA,23704,,,,
LLVA62465,LONG FENCE,CHANTILLY,VA,20152,,,,
LLVA62466,BARAKAK ENTERPRISES LLC,CHESTERFIELD,VA,23838,,,,
LLVA62467,S & I CARRIER INC,N CHESTERFIELD,VA,23235,,,,
LLVA62468,MAIL SOLUTIONS OF VIRGINIA LLC,VIRGINIA BEACH,VA,23320,,,,
LLVA62469,NEW BEGINNING CONCIERGE SERVICES,HENRICO,VA,23228,,,,
LLVA62470,BOOST MOBILE,ANNANDALE,VA,22003,,,,
LLVA62471,PUBLIC PARTNERSHIP LLC,BOSTON,MA,2109,,,,
LLVA62472,AEROTEK SCIENTIFIC,RICHMOND,VA,23230,,,,
LLVA62473,BECK-COHEN PLUMBING & HEATING,CHARLOTTESVILLE,VA,22902,,,,
LLVA62474,PAMPA SAZONE,FAIRFAX,VA,22030,,,,
LLVA62475,SCARBOROUGH FREIGHT TRANSPORTATION,MANASSAS,VA,20109,,,,
LLVA62476,RAJ I PRASHAD,MCLEAN,VA,22101,,,,
LLVA62477,VERITAS COLLEGIATE ACADEMY,FAIRFAX,VA,22031,,,,
LLVA62478,HANOVER COUNSELING ASSOCIATES PLLC,MECHANICSVILLE,VA,23116,,,,
LLVA62479,OS4 LABOR/BALLY STAFFING,FONTANA,CA,92335,,,,
LLVA62480,ARK SOLUTIONS INC,RESTON,VA,20191,,,,
LLVA62481,ANGELLES PLACE CHILDCARE,ROANOKE,VA,24017,,,,
LLVA62482,ALL AMERICAN PLUMBERS,MANASSAS,VA,20109,,,,
LLVA62483,"DR. GUY TRENGOVE-JONES, MD",NORFOLK,VA,23505,,,,
LLVA62484,IMPERIO INC,ALPHARETTA,GA,30009,,,,
LLVA62485,EVIGILANT SECURITY,LORTON,VA,22079,,,,
LLVA62486,GOLDEN KEY GROUP LLC,RESTON,VA,20191,,,,
LLVA62487,STAFFORD KABOB ROOM,STAFFORD,VA,22554,,,,
LLVA62488,"SAJI ENTERPRISES, INC. AND ITS SUCCESSORS",ROANOKE,VA,24017,,,,
LLVA62489,GARY CAMERON TRUCKING,ASHLAND,VA,23005,,,,
LLVA62490,COMMUNICATIONS CORPORATION OF AMERICA,ELKWOOD,VA,22718,,,,
LLVA62491,BEYOND DISABILITY,NA,NA,NA,,,,
LLVA62493,MARK WINES,MARSHALL,VA,20115,,,,
LLVA62494,DWIGHT WOLF,NEWPORT NEWS,VA,23601,,,,
LLVA62495,BOBBY CREEL,RICHMOND,VA,23238,,,,
LLVA62496,VAN GO INC,HENRICO,VA,23228,,,,
LLVA62497,FAIRFAX TOWING/FAIRFAX AUTO GLASS,FAIRFAX,VA,22031,,,,
LLVA62498,GMC INC/7-ELEVEN,PORTSMOUTH,VA,23707,,,,
LLVA62499,HENRY & Y COUTURE,MCLEAN,VA,22101,,,,
LLVA62500,RICKY CAN BUILD IT LLC,CHANTILLY,VA,20151,,,,
LLVA62501,SERVPAL,ARLINGTON,VA,22202,,,,
LLVA62502,HOLIDAY SIGNS,CHESTER,VA,23836,,,,
LLVA62503,MOHENIS SERVICES INC,PETERSBURG,VA,23803,,,,
LLVA62504,SECUREMEDY INC,WALDORF,MD,20602,,,,
LLVA62506,COASTAL INVESTMENT,VIRGINIA BEACH,VA,23462,,,,
LLVA62507,SCOTT WAGNER CHIROPRACTIC  & SPORTS MEDICINE,CHARLOTTESVILLE,VA,22901,,,,
LLVA62508,CIRCLE SNACK BAR & GRILL,HAMPTON,VA,23669,,,,
LLVA62510,"COMMONWEALTH ALUMINUM SUPPLY, INC",FREDERICKSBURG,VA,22406,,,,
LLVA62513,FAMILY LIFE SERVICES LLC,RICHMOND,VA,23228,,,,
LLVA62514,WPAT PC LAW GROUP,VIENNA,VA,22182,,,,
LLVA62515,MANOR CARE/HEARTLAND SERVICES,RICHMOND,VA,23228,,,,
LLVA62516,DISCOUNT MOBILE GLASS,MECHANICSVILLE,VA,23111,,,,
LLVA62518,HOME CARE SERVICES UNLIMITED,VIRGINIA BEACH,VA,23462,,,,
LLVA62521,PUBLIC PARTNERSHIP,LAWRENCEVILLE,VA,23868,,,,
LLVA62522,DOHERTY PLUMBING CO INC,CHANTILLY,VA,20151,,,,
LLVA62523,PAPERMOON,RICHMOND,VA,23225,,,,
LLVA62524,COMMONWEALTH ALUMINUM SUPPLY,FREDERICKSBURG,VA,22406,,,,
LLVA62525,KR ENTERPRISES INC,MARTINSVILLE,VA,24112,,,,
LLVA62526,SOUNDS UNLIMITED,DANVILLE,VA,24540,,,,
LLVA62527,L5 MEDICAL HOLDINGS LLC,MADISON HEIGHTS,VA,24572,,,,
LLVA62528,DMG FEDERAL,NEWPORT NEWS,VA,23606,,,,
LLVA62529,PENTAGON CITY WINE MERCHANT,ARLINGTON,VA,22202,,,,
LLVA62530,BUILD ON ME INC,RESTON,VA,20190,,,,
LLVA62532,LIFE SERVICES INC,RICHMOND,VA,23233,,,,
LLVA62534,VIRGINIA BEACH EYE CENTER,VIRGINA BEACH,VA,23454,,,,
LLVA62535,"BUY W ME, INC",VIRGINIA BEACH,VA,23452,,,,
LLVA62536,MACY'S,RICHMOND,VA,23235,,,,
LLVA62537,J & P CONTRACTORS,STUART,VA,24171,,,,
LLVA62538,GARNETT CONSTRUCTION LLC,SEAFORD,VA,23696,,,,
LLVA62539,BRIDGING THE GAP FAMILY SERVICES,MANASSAS,VA,20109,,,,
LLVA62540,CUSTOM VINYL PRODUCTS,NEWPORT NEWS,VA,23603,,,,
LLVA62541,QDOBA MEXICAN GRILL,NORFOLK,VA,23502,,,,
LLVA62542,MEDLIN MOTOR COMPANY,WEST POINT,VA,23603,,,,
LLVA62543,HOME CARE SERVICES UNLIMITED INC,VIRGINIA BEACH,VA,23464,,,,
LLVA62544,SKATE NATION PLUS,GLEN ALLEN,VA,23060,,,,
LLVA62545,PAUL DAVIS RESTORATION,NEW MARKET,VA,22844,,,,
LLVA62546,CHESTER FAMILY MEDCOR,CHESTER,VA,23831,,,,
LLVA62547,BIBO'S PIZZERIA,NEW CASTLE,VA,24127,,,,
LLVA62548,... EMPLOYER NAME unknown ...,NA,NA,NA,,,,
LLVA62549,YONA SYSTEMS GROUP,MANASSAS,VA,20111,,,,
LLVA62550,APRIL FOWLER,FRANKLIN,VA,23851,,,,
LLVA62551,HOMETOWN SERVICES LLC,STERLING,VA,20166,,,,
LLVA62552,NEW DESIRES FAMILY SERVICES,CHESTER,VA,23831,,,,
LLVA62553,WALMART,WILLIAMSBURG,VA,23185,,,,
LLVA62554,SNS,VIRGINIA BEACH,VA,23452,,,,
LLVA62555,5 STAR TOWING & RECOVERY,MANASSAS,VA,20109,,,,
LLVA62556,YORKTOWN FROZEN ASSETS,YORKTOWN,VA,23609,,,,
LLVA62557,DOREY ELECTRIC COMPANY,NORFOLK,VA,23513,,,,
LLVA62561,CHANDLER MANAGEMENT CORPORATION,NEWPORT NEWS,VA,23606,,,,
LLVA62563,LAWN AND ORDER LLC,VIRGINIA BEACH,VA,23455,,,,
LLVA62564,MSK,RICHMOND,TX,77406,,,,
LLVA62565,FAMILY FIRST HOME HEALTHCARE LLC,VIRGINIA BEACH,VA,23452,,,,
LLVA62566,CHOCOLATE MOONSHINE VIRGINIA,NORFOLK,VA,23508,,,,
LLVA62567,POTOMAC BEHAVIORAL SOLUTIONS,ARLINGTON,VA,22202,,,,
LLVA62568,MR. ROOTER PLUMBING,VIRGINA BEACH,VA,23452,,,,
LLVA62569,THE SHRIMP LOVER OF STERLING,STERLING,VA,20164,,,,
LLVA62570,POSITIVE CONNECTIONS INC,PORTSMOUTH,VA,23704,,,,
LLVA62571,GREAT AMERICAN RANCH,MIDLOTHIAN,VA,23112,,,,
LLVA62572,AMERICAN HOME SERVICES,STERLING,VA,20164,,,,
LLVA62573,SIGNATURE POOL SERVICES,RICHMOND,VA,23220,,,,
LLVA62575,AM-MAR CORPORATION,FRONT ROYAL,VA,22630,,,,
LLVA62576,IHOP,CHESAPEAKE,VA,23321,,,,
LLVA62578,MY CAR LLC,VIRGINIA BEACH,VA,23464,,,,
LLVA62579,CREATING SCHOLARS THROUGH THERAPY,HAMPTON,VA,23666,,,,
LLVA62580,AMERICAN HOME SERVICES INC,STERLING,VA,20164,,,,
LLVA62581,BARNES SITE WORK CONTRACTORS,VIRGINA BEACH,VA,23451,,,,
LLVA62582,BARNES SITE WORK CONTRACTORS,VIRGINIA BEACH,VA,23651,,,,
LLVA62583,BARNES SITE WORK CONTRACTORS LLC,VIRGINIA BEACH,VA,23451,,,,
LLVA62584,BEST WESTERN,EMPORIA,VA,23847,,,,
LLVA62585,AJ'S RESTAURANT & SPORTS BAR SMOKEHOUSE,NEWPORT NEWS,VA,23608,,,,
LLVA62586,THOMAS ADAMS & ASSOCIATES P.C.,VIRGINIA BEACH,VA,23452,,,,
LLVA62587,ICF,FAIRFAX,VA,22031,,,,
LLVA62588,WACHTER ELECTRIC,ASHLAND,VA,23005,,,,
LLVA62589,HEAVENLY PLAYHOUSE,HENRICO,VA,23238,,,,
LLVA62590,ACSH PRIMARY CARE OF VIRGINA LLC,WOODBRIDGE,VA,22193,,,,
LLVA62591,AMERICA BUS SERVICES,MCLEAN,VA,22101,,,,
LLVA62592,ACSH PRIMARY CARE OF VIRGINIA LLC,WOODBRIDGE,VA,22193,,,,
LLVA62594,INTEGRATED TECHNOLOGY INC.,VIRGINIA BEACH,VA,23451,,,,
LLVA62595,UNIDOS FINANCIAL SERVICES,LITTLETON,CO,80120,,,,
LLVA62596,MEIYA GROUP GLOBAL/CYCLE AVIATION,LEESBURG,VA,20175,,,,
LLVA62597,"MEDUSA ENTERPRISES, INC",N CHESTERFIELD,VA,23225,,,,
LLVA62598,CREATING SCHOLARS THROUGH THERAPY,HAMPTON,VA,23666,,,,
LLVA62599,CROSS-LAND HARBOUR INC,KING WILLIAM,VA,23086,,,,
LLVA62600,HONEY GROVE LEARNING ACADEMY,VIRGINIA BEACH,VA,23455,,,,
LLVA62601,FOX TRAIL SENIOR LIVING OF ORANGE VA,ORANGE,VA,22960,,,,
LLVA62602,KING GEORGE DENTAL,KING GEORGE,VA,22485,,,,
LLVA62604,BITE SQUAD,FALLS CHURCH,VA,22046,,,,
LLVA62605,CARS RECON,FRANKLIN,TN,37064,,,,
LLVA62606,GRAPEVINE RESTAURANT,RICHMOND,VA,23233,,,,
LLVA62607,UNIQUE SNACKS,RICHMOND,VA,23222,,,,
LLVA62608,CAPITAL AUTOMOTIVE RECONDITIONING SERVICES,FRANKLIN,TN,37064,,,,
LLVA62609,IMPERIO INC,ALPHARETTA,GA,30009,,,,
LLVA62610,SAVERA WORKS,LEESBURG,VA,20176,,,,
LLVA62614,COVENANT PROPERTY,RICHMOND,VA,23227,,,,
LLVA62615,BRIAN EPLING,VIRGINIA BEACH,VA,23454,,,,
LLVA62616,STAN BURKE,STERLING,VA,20166,,,,
LLVA62617,DMT LLC,FOREST,VA,24551,,,,
LLVA62618,COPPERSMITH'S,BARBOURSVILLE,VA,22923,,,,
LLVA62619,FORREST EXTERMINATING,CHESAPEAKE,VA,23320,,,,
LLVA62620,ACSH PRIMARY CARE OF VIRGINIA LLC,WOODBRIDGE,VA,22193,,,,
LLVA62621,ACSH PRIMARY CARE OF VIRGINIA LLC,RICHMOND,VA,22193,,,,
LLVA62622,PHYSIATRY SPORTS & FAMILY MEDICINE,CHESAPEAKE,VA,23320,,,,
LLVA62623,SWEET GRACE HOME HEALTH,SUFFOLK,VA,23434,,,,
LLVA62624,LINDSAY CHEVROLET,WOODBRIDGE,VA,22191,,,,
LLVA62625,LUV 2 PLAY LEESBURG,LEESBURG,VA,20176,,,,
LLVA62626,WIRELESS CENTER INC,CLEVELAND,OH,44114,,,,
LLVA62627,GUS' TRUCKING,HENRICO,VA,23222,,,,
LLVA62628,PIONEER CHEVROLET,ABINGDON,VA,24210,,,,
LLVA62629,MACK'S BARGE,NORFOLK,VA,23508,,,,
LLVA62630,WAKEFIELD PHARMACY,WAKEFIELD,VA,23888,,,,
LLVA62631,GRIFFIN AND SZIPL P.C.,ARLINGTON,VA,22204,,,,
LLVA62632,WRIGHT CHOICES INC,NEWPORT NEWS,VA,23606,,,,
LLVA62633,SUNDIAL INN,VIRGINIA BEACH,VA,23451,,,,
LLVA62634,NEENA ENTERPRISES LLC,MCLEAN,VA,20121,,,,
LLVA62635,POTOMAC SWIM SCHOOL,WINCHESTER,VA,22602,,,,
LLVA62636,CROSSLAND HARBOR,KING WILLIAM,VA,23086,,,,
LLVA62637,DOUBLE M INC,BATON ROUGE,LA,70809,,,,
LLVA62638,OMEGA CONTRACTIL LLC,MANASSAS,VA,20111,,,,
LLVA62639,EYE CANDY LASH BOUTIQUE,VIRGINIA BEACH,VA,23452,,,,
LLVA62640,DANVILLE ORTHOPEDIC ATHLETIC REHAB,DANVILLE,VA,24540,,,,
LLVA62641,ROTO-ROOTER,MANASSAS,VA,20110,,,,
LLVA62643,CEI LOGISTICS DEPARTMENT,NA,NA,NA,,,,
LLVA62644,PHYSIATRY SPORTS & FAMILY MEDICINE,CHESAPEAKE,VA,23502,,,,
LLVA62646,INFINTRAK LLC,HERNDON,VA,20170,,,,
LLVA62648,BDS MARKETING LLC,IRVINE,CA,92618,,,,
LLVA62649,TPP OPERATING INC,RICHARDSON,TX,75081,,,,
LLVA62650,DR TRAVIS LEE MD,CHESAPEAKE,VA,23320,,,,
LLVA62651,BEYOND DISABILITIES LLC,NEWPORT NEWS,VA,23606,,,,
LLVA62652,BLUE RIDGE AESTHETICS AT CROZET,CHARLOTTESVILLE,VA,22903,,,,
LLVA62653,CRM LENDING,VIENNA,VA,22182,,,,
LLVA62654,SHAWARMA SHACK,RICHMOND,VA,23220,,,,
LLVA62655,BETTER LIFE SERVICES,VIRGINIA BEACH,VA,23455,,,,
LLVA62656,C.M. NOBLE CORPORATION,VIRGINIA BEACH,VA,23452,,,,
LLVA62658,THE ALCOVE,VIRGINIA BEACH,VA,23452,,,,
LLVA62660,STAFFZONE,RICHMOND,VA,23220,,,,
LLVA62661,"WORLD NET DAILY COM, INC",CHANTILLY,VA,20151,,,,
LLVA62662,"SETTLEMENT SERVICES, LLC",ALEXANDRIA,VA,22310,,,,
LLVA62663,LEVOC FAMILY SERVICES LLC,CHESAPEAKE,VA,23851,,,,
LLVA62665,PUBLIC PARTNERSHIP,GLEN ALLEN,VA,23060,,,,
LLVA62666,SAFE HAVEN,RICHMOND,VA,23225,,,,
LLVA62667,"ALPHA COUNSELLORS SERVICES, INC",HAMPTON,VA,23666,,,,
LLVA62668,CONYERS ELECTRICAL SERVICE,CHESAPEAKE,VA,23320,,,,
LLVA62669,CLEAN WIZARDS JANITORIAL,VIRGINIA BEACH,VA,23462,,,,
LLVA62670,STEADY ROLLIN' CONSTRUCTION SERVICES,WINCHESTER,VA,22602,,,,
LLVA62671,"QUICK-EHE, INC.",FINCASTLE,VA,24090,,,,
LLVA62672,SIMPLY GRACE HEALTHCARE SERVICES,CHESAPEAKE,VA,23320,,,,
LLVA62673,"TPP OPERATING, INC",RICHARDSON,TX,75081,,,,
LLVA62674,DOUBLE M,BATON ROUGE,LA,70809,,,,
LLVA62675,VALLEY DENTAL CARE,CULPEPER,VA,22701,,,,
LLVA62676,CONYERS ELECTRICAL SERVICES,CHESAPEAKE,VA,23320,,,,
LLVA62679,COMMONWEALTH VISION CENTER P.C.,BLACKSTONE,VA,23824,,,,
LLVA62680,MARIA SIMS,SPOTSYLVANIA,VA,22553,,,,
LLVA62681,TIDEWATER ROOFING,HAMPTON,VA,23455,,,,
LLVA62682,CARE ADVANTAGE,CHESAPEAKE,VA,23220,,,,
LLVA62683,PRECISION PAINTING DEMO CONTRACTING LLC,NA,NA,NA,,,,
LLVA62684,"METTERS, INC",MCLEAN,VA,22102,,,,
LLVA62685,I-64 HOTEL AKAZA,RICHMOND,VA,23230,,,,
LLVA62686,"AGAPE CARE, LLC",NORFOLK,VA,23523,,,,
LLVA62687,MISSIION REALTY,RICHMOND,VA,23226,,,,
LLVA62688,CYNTHIA ANN INTERIORS,BLUEMONT,VA,20135,,,,
LLVA62689,LARRY'S DELI,VIRGINIA  BEACH,VA,23462,,,,
LLVA62690,SERVICE TIRE TRUCK CENTER,WINCHESTER,VA,22603,,,,
LLVA62691,MCCORMICK & SCHMICK RESTAURANT CORP.,MCLEAN,VA,22102,,,,
LLVA62692,"TECH MARKETING GROUP,  INC.",RICHMOND,VA,23219,,,,
LLVA62693,"SERVICEMASTER SERVICES, INC.",RICHMOND,VA,23220,,,,
LLVA62694,FRAMING Y DRYWALL,CHARLOTTESVILLE,VA,22901,,,,
LLVA62695,FRAMING Y DRYWALL,CHARLOTTESVILLE,VA,22903,,,,
LLVA62696,CARING & SHARING,NEWPORT NEWS,VA,23607,,,,
LLVA62697,VIRGINIA BEACH RESORT CONDO MANAGEMENT COMPANY,VIRGINIA BEACH,VA,23451,,,,
LLVA62698,MARS ROSHNI RAJ & YOG DBA SUPER VALUE INN,FREDERICKSBURG,VA,22406,,,,
LLVA62699,"MARS ROSHNIA RAJ & YOG, DBA SUPER VALUE INN",FREDERICKSBURG,VA,22406,,,,
LLVA62700,MARS ROSHNI RAJ & YOG DBA SUPER VALUE INN,SPOTSYLVANIA,VA,22553,,,,
LLVA62701,MELODY HOOKAH LOUNGE,BLACKSBURG,VA,24060,,,,
LLVA62702,ATLEE COFFEE & DONUTS,MECHANICSVILLE,VA,23116,,,,
LLVA62703,STEVE PADGETT HONDA,DANVILLE,VA,24541,,,,
